metric_name,metric_value,origin_index
frontier_per_origin_candidate_counts,1,10721
frontier_per_origin_candidate_counts,2,10722
frontier_per_origin_candidate_counts,2,10723
frontier_per_origin_candidate_counts,2,10736
frontier_per_origin_candidate_counts,2,1074
frontier_per_origin_candidate_counts,1,10740
frontier_per_origin_candidate_counts,1,1075
frontier_per_origin_candidate_counts,1,10753
frontier_per_origin_candidate_counts,2,10757
frontier_per_origin_candidate_counts,2,10761
frontier_per_origin_candidate_counts,1,10767
frontier_per_origin_candidate_counts,2,10773
frontier_per_origin_candidate_counts,1,10779
frontier_per_origin_candidate_counts,2,10781
frontier_per_origin_candidate_counts,2,10782
frontier_per_origin_candidate_counts,2,10787
frontier_per_origin_candidate_counts,2,10791
frontier_per_origin_candidate_counts,2,10792
frontier_per_origin_candidate_counts,2,10795
frontier_per_origin_candidate_counts,2,10798
frontier_per_origin_candidate_counts,2,10799
frontier_per_origin_candidate_counts,1,10802
frontier_per_origin_candidate_counts,2,10806
frontier_per_origin_candidate_counts,2,10807
frontier_per_origin_candidate_counts,2,10809
frontier_per_origin_candidate_counts,2,10816
frontier_per_origin_candidate_counts,1,10817
frontier_per_origin_candidate_counts,1,10818
frontier_per_origin_candidate_counts,1,10823
frontier_per_origin_candidate_counts,2,10830
frontier_per_origin_candidate_counts,1,10834
frontier_per_origin_candidate_counts,2,10836
frontier_per_origin_candidate_counts,1,1084
frontier_per_origin_candidate_counts,1,10841
frontier_per_origin_candidate_counts,2,10844
frontier_per_origin_candidate_counts,2,10847
frontier_per_origin_candidate_counts,2,10852
frontier_per_origin_candidate_counts,2,10855
frontier_per_origin_candidate_counts,1,10856
frontier_per_origin_candidate_counts,1,10863
frontier_per_origin_candidate_counts,1,10866
frontier_per_origin_candidate_counts,1,10868
frontier_per_origin_candidate_counts,2,10869
frontier_per_origin_candidate_counts,3,10876
frontier_per_origin_candidate_counts,2,10879
frontier_per_origin_candidate_counts,1,10892
frontier_per_origin_candidate_counts,1,10897
frontier_per_origin_candidate_counts,2,1090
frontier_per_origin_candidate_counts,2,10907
frontier_per_origin_candidate_counts,1,10908
frontier_per_origin_candidate_counts,2,10914
frontier_per_origin_candidate_counts,3,10917
frontier_per_origin_candidate_counts,2,10923
frontier_per_origin_candidate_counts,2,10926
frontier_per_origin_candidate_counts,2,10927
frontier_per_origin_candidate_counts,2,10933
frontier_per_origin_candidate_counts,2,10939
frontier_per_origin_candidate_counts,1,1094
frontier_per_origin_candidate_counts,2,10940
frontier_per_origin_candidate_counts,1,10953
frontier_per_origin_candidate_counts,2,10956
frontier_per_origin_candidate_counts,1,10958
frontier_per_origin_candidate_counts,1,10972
frontier_per_origin_candidate_counts,2,10974
frontier_per_origin_candidate_counts,1,10975
frontier_per_origin_candidate_counts,2,1098
frontier_per_origin_candidate_counts,2,10994
frontier_per_origin_candidate_counts,1,10996
frontier_per_origin_candidate_counts,3,11003
frontier_per_origin_candidate_counts,1,11004
frontier_per_origin_candidate_counts,1,11007
frontier_per_origin_candidate_counts,2,11008
frontier_per_origin_candidate_counts,2,11009
frontier_per_origin_candidate_counts,2,1101
frontier_per_origin_candidate_counts,2,11012
frontier_per_origin_candidate_counts,2,11016
frontier_per_origin_candidate_counts,1,11019
frontier_per_origin_candidate_counts,1,11023
frontier_per_origin_candidate_counts,2,11032
frontier_per_origin_candidate_counts,1,11042
frontier_per_origin_candidate_counts,2,11054
frontier_per_origin_candidate_counts,2,11057
frontier_per_origin_candidate_counts,2,11059
frontier_per_origin_candidate_counts,1,11068
frontier_per_origin_candidate_counts,2,11072
frontier_per_origin_candidate_counts,1,11073
frontier_per_origin_candidate_counts,2,11087
frontier_per_origin_candidate_counts,1,11093
frontier_per_origin_candidate_counts,2,11095
