edge_id,end_vertex,length,n_points,start_vertex
1157,-1,2.3810964489225417,2,10944
1158,-1,2.3811078790867977,2,10944
1159,-1,3.7797738355315653,2,10947
1160,-1,3.779752167243191,2,10947
1161,-1,5.999999333818135,2,10950
1162,-1,2.381094368381506,2,10951
1163,-1,1.5000057835796488,2,10953
1164,-1,5.999998507481492,2,10956
1165,-1,1.5000024081654142,2,10958
1166,-1,1.5000061784588457,2,10958
1167,-1,5.999996595471752,2,10959
1168,-1,5.999989447082465,2,10961
1169,-1,2.3811114680859484,2,10962
1170,-1,2.3811127870009217,2,10962
1171,-1,1.5000086503062346,2,10964
1172,-1,2.381102666892386,2,10965
1173,-1,5.9999937231541995,2,10973
1174,-1,3.779769575944599,2,10974
1175,-1,3.77976383920631,2,10974
1176,-1,2.3811097391411544,2,10981
1177,-1,6.000010580610623,2,10988
1178,-1,1.4999980952455525,2,10990
1179,-1,3.779757835556538,2,10993
1180,-1,5.999995103511358,2,10994
1181,-1,3.7797611507091564,2,10996
1182,-1,2.3811021910117813,2,10998
1183,-1,2.3811026348963877,2,10998
1184,-1,3.7797599667704116,2,11004
1185,-1,1.499992440343526,2,11005
1186,-1,2.381103201351499,2,11006
1187,-1,2.381112798164037,2,11006
1188,-1,6.000000308695833,2,11008
1189,-1,3.77977482649916,2,11009
1190,-1,3.7797700356894457,2,11010
1191,-1,2.381111914419829,2,11011
1192,-1,1.4999986078273253,2,11014
1193,-1,1.4999990960735587,2,11014
1194,-1,1.500000558658305,2,11016
1195,-1,6.0000008538141625,2,11020
1196,-1,2.381097347831898,2,11022
1197,-1,1.4999970154380227,2,11023
1198,-1,3.77975978259614,2,11025
1199,-1,3.7797698842036436,2,11026
1200,-1,3.779768178228043,2,11029
1201,-1,2.3811036974640785,2,11033
1202,-1,2.3811039779536105,2,11033
1203,-1,5.9999985125660995,2,11037
1204,-1,5.9999985125660995,2,11037
1205,-1,2.381101660931609,2,11038
1206,11332,6.496896337528049,3,11038
1207,-1,2.3811093816975357,2,11041
1208,-1,2.38110521494041,2,11041
1209,-1,3.7797508784266145,2,11044
1210,-1,9.52439932229065,2,11045
1211,-1,9.524403311326756,2,11045
1212,-1,1.5000046609518036,2,11046
1213,-1,1.499996928650225,2,11049
1214,-1,2.381105920343936,2,11051
1215,-1,3.779764983816097,2,11054
1216,-1,3.7797695741885415,2,11054
1217,-1,3.779760191515524,2,11063
1218,-1,2.3810981905707607,2,11064
1219,-1,2.381108458582397,2,11064
1220,-1,1.4999951969289622,2,11066
1221,-1,1.499993668622945,2,11066
1222,-1,5.999998127207023,2,11067
1223,-1,1.5000023563218732,2,11072
1224,-1,1.500011470202584,2,11072
1225,-1,2.381098258334297,2,11073
1226,-1,1.4999908006069744,2,11074
1227,-1,2.381093340938224,2,11075
1228,8450,5.118991714250585,3,11075
1229,-1,6.000008495324486,2,11076
1230,-1,2.3810917885701883,2,11078
1231,-1,2.381094602144072,2,11078
1232,-1,2.381100899839534,2,11081
1233,-1,2.3810962736832595,2,11081
1234,-1,3.7797687274463465,2,11083
1235,-1,3.779761528197352,2,11084
1236,-1,1.5000039664976008,2,11086
1237,-1,2.381101856985994,2,11088
1238,6465,4.559514635818962,3,11088
1239,-1,3.7797649775329747,2,11092
1240,-1,3.7797630734076395,2,11092
1241,-1,3.779756070157119,2,11094
1242,-1,3.779751634868007,2,11099
1243,-1,3.7797659535672756,2,11102
1244,-1,2.3811003394952994,2,11107
1245,-1,2.381105786235145,2,11114
1246,-1,2.3810948731863912,2,11114
1247,-1,2.3811037492277713,2,11115
1248,-1,2.3811041956177674,2,11115
1249,-1,2.381097275616157,2,11117
1250,-1,5.999989198127856,2,11118
1251,-1,3.7797595001016346,2,11120
1252,-1,3.7797599225497995,2,11120
1253,-1,3.7797685402772423,2,11121
1254,-1,5.999999499685731,2,11122
1255,-1,2.3811123639251046,2,11124
1256,-1,2.381107778407505,2,11125
1257,-1,2.381095936772044,2,11128
1258,-1,1.1905481228342205,2,11131
1259,-1,2.381109011199908,2,11131
1260,-1,2.381105879971959,2,11133
1261,-1,3.7797621390082075,2,11135
1262,-1,3.7797699769315507,2,11135
1263,6245,4.495496729645865,3,11141
1264,-1,3.7797693443312563,2,11142
1265,-1,6.000003813861744,2,11144
1266,-1,2.3810989581295927,2,11147
1267,-1,2.3811044700324953,2,11149
1268,-1,1.4999928900546695,2,11151
1269,-1,3.779758531906379,2,11154
1270,-1,3.7797589482332183,2,11154
1271,-1,9.5244030621518,2,11155
1272,-1,9.5244030621518,2,11155
1273,-1,9.524399203923789,2,11155
1274,-1,3.7797575917154846,2,11156
1275,-1,5.999988770897392,2,11157
1276,-1,5.999991566869373,2,11157
1277,-1,3.7797586677021293,2,11158
1278,-1,3.7797751311681864,2,11158
1279,-1,2.381102740856163,2,11163
1280,-1,3.7797536792301925,2,11165
1281,-1,3.7797606572063267,2,11168
1282,-1,1.4999963080193426,2,11170
1283,-1,2.381102897785161,2,11171
1284,-1,1.5000017317157177,2,11173
1285,-1,6.0000051018217,2,11176
1286,-1,6.000003196472847,2,11176
1287,-1,3.779768345808625,2,11178
1288,-1,5.999996879699915,2,11181
1289,-1,5.9999935257184545,2,11186
1290,-1,3.7797589363368465,2,11188
1291,-1,2.381096662663846,2,11190
1292,-1,3.779766857664459,2,11195
1293,-1,1.4999995965044404,2,11197
1294,-1,1.5000093754398387,2,11199
1295,-1,2.381099212450551,2,11200
1296,-1,1.4999966707140213,2,11209
1297,-1,1.4999983790326046,2,11209
1298,-1,3.7797652017541954,2,11212
1299,-1,3.7797547882660316,2,11212
1300,-1,2.3811040873601645,2,11213
1301,-1,3.7797574663607874,2,11214
1302,-1,3.7797622664263253,2,11217
1303,-1,2.381088051099886,2,11220
1304,11006,5.22538963470471,3,11220
1305,-1,2.3811033176762124,2,11220
1306,-1,5.999999061716686,2,11221
1307,-1,6.000001930752653,2,11221
1308,-1,3.779767049954081,2,11223
1309,-1,3.779768038736683,2,11224
1310,-1,3.7797626659669503,2,11224
1311,-1,6.000003220595059,2,11225
1312,-1,2.381098459571454,2,11226
1313,-1,3.779763017567902,2,11228
1314,-1,2.3811096090416575,2,11232
1315,-1,2.3810989080036586,2,11232
1316,-1,1.5000046841571855,2,11233
1317,-1,1.4999921417123618,2,11233
1318,-1,3.779768646874622,2,11240
1319,-1,5.999996898035338,2,11241
1320,-1,3.7797613671690926,2,11242
1321,-1,3.7797633617538087,2,11242
1322,-1,2.3811075771222443,2,11249
1323,-1,1.499996209221293,2,11250
1324,-1,1.50000010168878,2,11250
1325,-1,2.3810962015194335,2,11256
1326,-1,2.3810962015194335,2,11256
1327,-1,3.7797755905432444,2,11257
